method,region,confidence_drop,attribution_mass,prediction_changed
deepshap,background,-0.019003495573997498,0.43335763684340883,0.07142857142857142
deepshap,eyes,0.12060801445373467,0.17232911608048848,0.35714285714285715
deepshap,mouth,0.1851017459162644,0.1550188349293811,0.5714285714285714
gradcam,background,-0.019003495573997498,0.38413062372377943,0.07142857142857142
gradcam,eyes,0.12060801445373467,0.20982574964208262,0.35714285714285715
gradcam,mouth,0.1851017459162644,0.16555821656116418,0.5714285714285714
lime,background,-0.019003495573997498,0.3180356126810823,0.07142857142857142
lime,eyes,0.12060801445373467,0.2410581654735974,0.35714285714285715
lime,mouth,0.1851017459162644,0.22243668564728328,0.5714285714285714
shap,background,-0.019003495573997498,0.5563405667032514,0.07142857142857142
shap,eyes,0.12060801445373467,0.143099238297769,0.35714285714285715
shap,mouth,0.1851017459162644,0.09901979352746691,0.5714285714285714
