sample_idx,method,true_label,true_label_name,predicted_label,predicted_label_name,predicted_confidence,deletion_auc,insertion_auc,robustness_pearson_mean,robustness_rank_corr_mean,robustness_topk_iou_mean,correct
443,gradcam,2,sad,2,sad,0.692254900932312,0.601269206404686,0.5991829812526703,0.8530169810498259,0.8263325417715726,0.5969616977225674,1
443,lime,2,sad,2,sad,0.692254900932312,0.4546318888664246,0.7286968171596527,0.904719985039252,0.7970308088063014,0.75229734981706,1
443,shap,2,sad,2,sad,0.692254900932312,0.6760372161865235,0.6064714223146439,-0.03230536236481284,0.07126707099988372,0.23897617478735805,1
443,deepshap,2,sad,2,sad,0.692254900932312,0.439970850944519,0.5413743823766708,0.25239889138816696,0.14236720994898505,0.20573519154420863,1
461,gradcam,3,surprise,3,surprise,0.3326646387577057,0.39285712689161306,0.1813841752707958,0.6988504694239166,0.7233578908216984,0.515027062489749,1
461,lime,3,surprise,3,surprise,0.3326646387577057,0.09496073983609676,0.5990171119570733,0.9194033976384244,0.7560578371480122,0.6796514607893388,1
461,shap,3,surprise,3,surprise,0.3326646387577057,0.19256007671356204,0.34136661663651463,-0.017199904322040084,0.1262590500123743,0.5257604732687948,1
461,deepshap,3,surprise,3,surprise,0.3326646387577057,0.4521297365427017,0.5235858112573624,0.2671814890656525,0.18507153366722653,0.19972453242975768,1
482,gradcam,0,neutral,1,happy,0.9672909379005432,0.7483758568763733,0.8828534781932831,0.962721827094048,0.9412394140535592,0.7145394736842106,0
482,lime,0,neutral,1,happy,0.9672909379005432,0.42570325136184695,0.958423286676407,0.7533012905805432,0.7922614840429587,0.6374325615689762,0
482,shap,0,neutral,1,happy,0.9672909379005432,0.6390095084905625,0.910068815946579,-0.5186094814568228,-0.44957281124138737,0.13362178671417663,0
482,deepshap,0,neutral,1,happy,0.9672909379005432,0.4639822602272034,0.9201357007026673,0.37421106887644784,0.24563872390566416,0.2381194704210175,0
2378,gradcam,1,happy,1,happy,0.9624287486076355,0.7816234230995178,0.9606894075870513,0.9069318637993353,0.8970031757839323,0.6620629813111595,1
2378,lime,1,happy,1,happy,0.9624287486076355,0.4360933400690555,0.9673304855823517,0.9058167590795987,0.9304630622353004,0.6565275068156164,1
2378,shap,1,happy,1,happy,0.9624287486076355,0.9330869674682617,0.7828335583209992,0.43994861349744896,0.3410017094472487,0.5258218199178696,1
2378,deepshap,1,happy,1,happy,0.9624287486076355,0.2893992640078068,0.6171934396028518,0.21420253939782263,0.19035137752460218,0.19589203406356387,1
2405,gradcam,1,happy,1,happy,0.9804738759994507,0.6233078166842461,0.8459088534116744,0.869540893935952,0.8430890936140993,0.6064103029052474,1
2405,lime,1,happy,1,happy,0.9804738759994507,0.20087007880210875,0.9467443943023682,0.9904833452475215,0.8797489954055454,0.7967641039500625,1
2405,shap,1,happy,1,happy,0.9804738759994507,0.7950584918260576,0.5676872432231903,-0.224839496332549,-0.1747194317742931,0.17809591873907876,1
2405,deepshap,1,happy,1,happy,0.9804738759994507,0.24945951923727988,0.8851011931896209,0.3086429369780045,0.2729706474260527,0.22928709431421535,1
2447,gradcam,6,anger,5,disgust,0.3819591999053955,0.2051320467144251,0.4444646134972573,0.8525976457822602,0.8139203765163654,0.5877782043136008,0
2447,lime,6,anger,5,disgust,0.3819591999053955,0.05329516334459186,0.5413790971040726,0.9435520427041816,0.7782819158914596,0.9559579736847841,0
2447,shap,6,anger,5,disgust,0.3819591999053955,0.33634477406740193,0.1617139499634504,-0.27827529595753947,0.14083429934585848,0.0,0
2447,deepshap,6,anger,5,disgust,0.3819591999053955,0.09887027107179167,0.37229347527027135,0.2519795352221517,0.21690908889091554,0.21387353721022623,0
2735,gradcam,3,surprise,3,surprise,0.9318251609802246,0.8802922278642654,0.38337815403938286,0.9311006625687442,0.8827813859006639,0.7301765565664693,1
2735,lime,3,surprise,3,surprise,0.9318251609802246,0.36131073236465455,0.918196165561676,0.9828648128222642,0.8696543149434584,0.9075509965894153,1
2735,shap,3,surprise,3,surprise,0.9318251609802246,0.6038896143436433,0.7633566170930862,0.39270630736179213,0.4729123201032497,0.4175906791663374,1
2735,deepshap,3,surprise,3,surprise,0.9318251609802246,0.6279963195323945,0.9146175265312195,0.286096371835155,0.17816733830111245,0.21961091780587633,1
2796,gradcam,5,disgust,5,disgust,0.6172104477882385,0.2697228798642755,0.2505162417888641,0.9497165360737789,0.8827869649805447,0.775205976546826,1
2796,lime,5,disgust,5,disgust,0.6172104477882385,0.12536203227937223,0.6535106621682645,0.8698370081547738,0.8305513525286535,0.8511228560720493,1
2796,shap,5,disgust,5,disgust,0.6172104477882385,0.3255814500153064,0.29877740554511545,0.040007680997993525,0.24980909867955967,0.17587234755880776,1
2796,deepshap,5,disgust,5,disgust,0.6172104477882385,0.3146491803228856,0.6335051998496055,0.2817697297741375,0.21263190441835858,0.21189736087088132,1
3652,gradcam,2,sad,2,sad,0.40384140610694885,0.4678631484508514,0.42196697592735294,0.8582212796896023,0.7723001544975967,0.6085640895911576,1
3652,lime,2,sad,2,sad,0.40384140610694885,0.34101484566926954,0.5668853998184205,0.653470049116877,0.6419219504580835,0.33009117843392877,1
3652,shap,2,sad,2,sad,0.40384140610694885,0.5724342346191407,0.39056270420551303,0.2430238533114585,0.36303394724199006,0.3335846953522154,1
3652,deepshap,2,sad,2,sad,0.40384140610694885,0.2812363564968109,0.4822539627552032,0.20795124825409567,0.17727374075049124,0.18787001710436438,1
4015,gradcam,4,fear,6,anger,0.37335896492004395,0.2397048369050026,0.31344207674264907,0.9500406055044305,0.9402853913939115,0.738653292767518,0
4015,lime,4,fear,6,anger,0.37335896492004395,0.09215784855186938,0.485376688838005,0.9555513717089459,0.847539453989995,0.7210983115672003,0
4015,shap,4,fear,6,anger,0.37335896492004395,0.3036929279565812,0.20229331403970713,-0.6743298848796846,-0.677729834814983,0.0,0
