sample_idx,method,true_label,true_label_name,predicted_label,predicted_label_name,predicted_confidence,deletion_auc,insertion_auc,robustness_pearson_mean,robustness_rank_corr_mean,robustness_topk_iou_mean,correct
443,gradcam,2,sad,2,sad,0.692254900932312,0.601269206404686,0.5991829812526703,0.8530169810498259,0.8263325417715726,0.5969616977225674,1
443,lime,2,sad,2,sad,0.692254900932312,0.4693740129470825,0.7182973623275757,0.9104281455221402,0.9272260820204956,0.8528133690824324,1
443,shap,2,sad,2,sad,0.692254900932312,0.660991907119751,0.615368178486824,-0.12442764574332517,-0.10075031665607939,0.04213651846845924,1
461,gradcam,3,surprise,3,surprise,0.3326646387577057,0.39285712689161306,0.1813841752707958,0.7253536425204865,0.7349856946669717,0.5021765796392661,1
461,lime,3,surprise,3,surprise,0.3326646387577057,0.09848301261663438,0.574741131067276,0.9388602547346506,0.6602990231820375,0.7797838750560606,1
461,shap,3,surprise,3,surprise,0.3326646387577057,0.18523988127708435,0.3378553807735443,0.3850413035951,0.23273529356764242,0.4379876874437322,1
482,gradcam,0,neutral,1,happy,0.9672909379005432,0.7483758568763733,0.8828534781932831,0.9639819606892195,0.9437102311741817,0.7330841404358353,0
482,lime,0,neutral,1,happy,0.9672909379005432,0.5295733869075775,0.9573553562164306,0.9230976605394033,0.8113235040507616,0.5320331260681275,0
482,shap,0,neutral,1,happy,0.9672909379005432,0.6786822736263276,0.8855795145034789,-0.8475955377151383,-0.7065488492209844,0.0,0
2378,gradcam,1,happy,1,happy,0.9624287486076355,0.7816234230995178,0.9606894075870513,0.9088251416344708,0.9050200274662394,0.6510775351917604,1
2378,lime,1,happy,1,happy,0.9624287486076355,0.4538666851818562,0.9657767176628113,0.8845626643981397,0.8523438948999689,0.607528149184735,1
2378,shap,1,happy,1,happy,0.9624287486076355,0.9411621034145354,0.7866372048854827,0.6226926723277582,0.5221630509978967,0.8470607105109295,1
2405,gradcam,1,happy,1,happy,0.9804738759994507,0.6233078166842461,0.8459088534116744,0.9152648108809206,0.8885673208972305,0.6763068104933335,1
2405,lime,1,happy,1,happy,0.9804738759994507,0.16515532098710536,0.9492300748825073,0.9825005954985777,0.9138083521405488,0.8718605843157355,1
2405,shap,1,happy,1,happy,0.9804738759994507,0.7975070476531984,0.5555090516805649,0.4897994496194866,0.40679823713293956,0.39396535517800524,1
2447,gradcam,6,anger,5,disgust,0.3819591999053955,0.2051320467144251,0.4444646134972573,0.8453061154095005,0.806366445410849,0.5607276119402985,0
2447,lime,6,anger,5,disgust,0.3819591999053955,0.045604940876364713,0.5405578702688217,0.9500039965471408,0.7895619674809912,0.9726777110755057,0
2447,shap,6,anger,5,disgust,0.3819591999053955,0.3829016536474228,0.1770191043615341,-0.13791340165531008,0.22302642437472625,0.21955759168472078,0
2735,gradcam,3,surprise,3,surprise,0.9318251609802246,0.8802922278642654,0.38337815403938286,0.9305935491511013,0.8756124113069352,0.7301765565664693,1
2735,lime,3,surprise,3,surprise,0.9318251609802246,0.43543306887149813,0.924855864048004,0.9716056040030047,0.8419431301752403,0.6601767225299613,1
2735,shap,3,surprise,3,surprise,0.9318251609802246,0.6357846826314926,0.765806296467781,0.12054675911368391,0.2786178283844662,0.3319423767500128,1
2796,gradcam,5,disgust,5,disgust,0.6172104477882385,0.2697228798642755,0.2505162417888641,0.9501953539572036,0.8667090581368735,0.748699558987777,1
2796,lime,5,disgust,5,disgust,0.6172104477882385,0.13104655146598818,0.6542305126786232,0.8762566606196245,0.8322997753511115,0.5713951789888164,1
2796,shap,5,disgust,5,disgust,0.6172104477882385,0.3492095805704594,0.2845264269039034,-0.12088696340480318,0.06790558061488013,0.13159625600809513,1
3652,gradcam,2,sad,2,sad,0.40384140610694885,0.4678631484508514,0.42196697592735294,0.8533977938602421,0.7680325875486382,0.6099059561128526,1
3652,lime,2,sad,2,sad,0.40384140610694885,0.3369179919362068,0.5501052588224411,0.6535388439124057,0.6335524900629307,0.26026674387695,1
3652,shap,2,sad,2,sad,0.40384140610694885,0.5809873014688491,0.39024035930633544,0.22842334618242358,0.3439655608441926,0.13159625600809513,1
4015,gradcam,4,fear,6,anger,0.37335896492004395,0.2397048369050026,0.31344207674264907,0.9516521816717418,0.9385980773632412,0.7553837465674087,0
4015,lime,4,fear,6,anger,0.37335896492004395,0.1116959284991026,0.48177702575922016,0.9469256296589125,0.8339119677709308,0.43640935481560295,0
4015,shap,4,fear,6,anger,0.37335896492004395,0.2933893948793412,0.21238190084695813,0.12873230591783438,0.15931944904457168,0.5240263332567837,0
4161,gradcam,4,fear,5,disgust,0.8548717498779297,0.4577785409986973,0.6935997247695923,0.9407718341782292,0.83482218471046,0.6964257911680447,0
4161,lime,4,fear,5,disgust,0.8548717498779297,0.17663536835461857,0.7878768265247345,0.9157748886247713,0.8312208187756192,0.7477811846493181,0
4161,shap,4,fear,5,disgust,0.8548717498779297,0.466434776596725,0.4594965636730194,0.4998008650284773,0.32843657468754484,0.29795515064717737,0
4178,gradcam,5,disgust,5,disgust,0.8119988441467285,0.29588242843747137,0.7698306411504746,0.9562865170039837,0.9029411764705882,0.7654300127876675,1
4178,lime,5,disgust,5,disgust,0.8119988441467285,0.14434530138969423,0.8534884363412858,0.932307983253464,0.9158907708880075,0.6816337518598624,1
4178,shap,5,disgust,5,disgust,0.8119988441467285,0.7154683530330659,0.3909813791513443,0.08488379912679439,0.007563318252850282,0.19163429937257245,1
4235,gradcam,0,neutral,3,surprise,0.28605395555496216,0.03970394656062126,0.15249369516968728,0.8303253134618025,0.8100706683451591,0.5437296213176495,0
4235,lime,0,neutral,3,surprise,0.28605395555496216,0.027170632313936943,0.3315418869256973,0.9590102854656631,0.6164570348639318,0.4790103470151677,0
4235,shap,0,neutral,3,surprise,0.28605395555496216,0.2535283178091049,0.03534746160730719,-0.21478821107168455,-0.14636421146761477,0.17990085915263007,0
4589,gradcam,6,anger,5,disgust,0.6045044660568237,0.1144368052482605,0.5126076839864254,0.8729971613878889,0.8681689173723963,0.6650766877727389,0
4589,lime,6,anger,5,disgust,0.6045044660568237,0.05762251261621714,0.7380873203277588,0.9862313285134544,0.9197303078939651,0.7406927010360743,0
4589,shap,6,anger,5,disgust,0.6045044660568237,0.15125265382230282,0.5073260746896266,-0.07143753545690071,0.24924286011564506,0.3259404196663382,0
