sample_idx,method,perturbation_idx,pearson,rank_corr,topk_iou,target_confidence
443,gradcam,0,0.7321188107897953,0.7986231116960403,0.4782608695652174,0.6165726780891418
443,gradcam,1,0.8820956398748985,0.7907415884641794,0.6190476190476191,0.6350787878036499
443,gradcam,2,0.9464245841181067,0.9386823357747769,0.7,0.6498619914054871
443,gradcam,3,0.8869236892432935,0.8617639906157015,0.59375,0.6481571793556213
443,gradcam,4,0.8175221812230352,0.7418516823071641,0.59375,0.6149619221687317
443,lime,0,0.9364916001381116,0.8102749486987579,0.6843998971986636,0.5874765515327454
443,lime,1,0.9085931383809351,0.9814545506042467,0.654632668518051,0.622638463973999
443,lime,2,0.9548753278246677,0.9210335988732855,0.8246102449888641,0.6533658504486084
443,lime,3,0.9062004907037439,0.8147221838772585,0.7646742057081314,0.6520159840583801
443,lime,4,0.8908342045831379,0.9128217485985423,0.7143604499084488,0.613846480846405
443,shap,0,0.6066853524604711,0.5496219273447891,0.6206726013847675,0.6071367263793945
443,shap,1,0.6799209172469288,0.9856199311908306,0.8246102449888641,0.6463836431503296
443,shap,2,0.8308620142569679,0.9925201365025372,0.6206726013847675,0.6552470326423645
443,shap,3,0.6503128774997917,0.5862553098734695,0.6206726013847675,0.6307445764541626
443,shap,4,0.4684427784793158,0.38990658214884877,0.404930332261522,0.6084545254707336
461,gradcam,0,0.7773894856479526,0.7613720244907302,0.5223880597014925,0.23404955863952637
461,gradcam,1,0.7879897763106876,0.7260228313115129,0.5692307692307692,0.29184845089912415
461,gradcam,2,0.7620800765577425,0.790617847333486,0.5454545454545454,0.3859572112560272
461,gradcam,3,0.6632570896860885,0.7254735065232318,0.45714285714285713,0.25128841400146484
461,gradcam,4,0.636051784399961,0.6714422636758983,0.4166666666666667,0.3814280331134796
461,lime,0,0.6768749017156626,0.7712849858500552,0.37371620205407674,0.3088124990463257
461,lime,1,0.8420335000903075,0.7941068336819277,0.37371620205407674,0.2448352426290512
461,lime,2,0.5589195834136034,0.7715480359095279,0.37371620205407674,0.4862572252750397
461,lime,3,0.21659545074169065,0.7385561193588054,0.3081836327345309,0.3958229124546051
461,lime,4,0.4942178212641265,0.7335014923150285,0.2988505747126437,0.37623149156570435
461,shap,0,0.7726684526399525,0.8745178561148579,0.37371620205407674,0.34723520278930664
461,shap,1,0.8417539666652674,0.8737683805893133,0.37371620205407674,0.2735005021095276
461,shap,2,0.7660322526232153,0.8600849148114392,0.37371620205407674,0.366885244846344
461,shap,3,0.5482443128863557,0.821495173155967,0.2548343863679877,0.3155801296234131
461,shap,4,0.6569263374591338,0.7994731307623096,0.28459427675421406,0.47764453291893005
482,gradcam,0,0.9283061976400035,0.9230230029755093,0.59375,0.900140106678009
482,gradcam,1,0.9634166580927269,0.9460975051499199,0.7288135593220338,0.935055136680603
482,gradcam,2,0.9768879879049214,0.9414890421149005,0.8214285714285714,0.9336394667625427
482,gradcam,3,0.9761594876241907,0.956927357518883,0.7,0.9315809607505798
482,gradcam,4,0.9751394721842541,0.951014248111696,0.8214285714285714,0.8946086168289185
482,lime,0,0.9160873468418518,0.971813915821758,0.7094418362023995,0.8831184506416321
482,lime,1,0.9828197559264517,0.9733229915952788,0.96345116836429,0.9323010444641113
482,lime,2,0.878841169855176,0.9251068316755096,0.96345116836429,0.903924286365509
482,lime,3,0.9921412997569671,0.92941561885517,0.96345116836429,0.9148077964782715
