2026-04-15 15:21:44,245 | root | INFO | Logging initialized. Writing to: experiments\evaluation\main_cnn_xai_baseline\evaluate_all.log
2026-04-15 15:21:44,245 | evaluate_all | INFO | ================================================================================
2026-04-15 15:21:44,246 | evaluate_all | INFO | COMPLETE EVALUATION PIPELINE
2026-04-15 15:21:44,246 | evaluate_all | INFO | ================================================================================
2026-04-15 15:21:44,246 | evaluate_all | INFO | Config: configs/main_cnn_xai.yaml
2026-04-15 15:21:44,246 | evaluate_all | INFO | Checkpoint: experiments/checkpoints/best_model150epochs.pt
2026-04-15 15:21:44,247 | evaluate_all | INFO | Output directory: experiments/evaluation/main_cnn_xai_baseline
2026-04-15 15:21:44,247 | evaluate_all | INFO | Split: test
2026-04-15 15:21:44,247 | evaluate_all | INFO | ================================================================================

2026-04-15 15:21:44,247 | evaluate_all | INFO | 
================================================================================
2026-04-15 15:21:44,248 | evaluate_all | INFO | Running: Model Evaluation
2026-04-15 15:21:44,248 | evaluate_all | INFO | ================================================================================
2026-04-15 15:21:44,248 | evaluate_all | INFO | Command: C:\Users\merie\Downloads\DeepLearning_Project-main\venv\Scripts\python.exe -m src.evaluation.evaluate --config configs/main_cnn_xai.yaml --checkpoint experiments/checkpoints/best_model150epochs.pt --output_dir experiments\evaluation\main_cnn_xai_baseline --split test

2026-04-15 15:21:53,796 | evaluate_all | ERROR | ❌ Command failed with return code 1
